
# m=4, global_batch=128
epoch,train_loss,train_acc,throughput,epoch_time
5,1.5452,0.4387,2657.06,18.79
6,1.4111,0.4926,2693.37,18.53
7,1.3012,0.5365,2707.59,18.44
8,1.2042,0.5755,2653.88,18.81
9,1.1319,0.6079,2691.65,18.55
10,1.0871,0.6220,2539.18,19.66
11,1.0447,0.6401,2463.35,20.27
12,1.0009,0.6556,2546.72,19.60
13,0.9671,0.6682,2541.72,19.64
14,0.9448,0.6769,2625.81,19.01
15,0.9228,0.6849,2679.37,18.63

# m=8, global_batch=256
epoch,train_loss,train_acc,throughput,epoch_time
1,3.0006,0.1481,4621.10,10.80
2,2.0358,0.2173,4766.25,10.47
3,1.8694,0.2883,4876.04,10.24
4,1.6981,0.3602,5007.21,9.97
5,1.5668,0.4155,4792.00,10.42
6,1.4635,0.4607,4914.97,10.16
7,1.3771,0.5028,4859.16,10.27
8,1.2818,0.5379,4798.39,10.40
9,1.2061,0.5681,4777.98,10.45
10,1.1281,0.6026,4796.94,10.41
11,1.0494,0.6322,4836.74,10.32
12,0.9920,0.6549,4917.03,10.15
13,0.9420,0.6709,5001.86,9.98
14,0.9133,0.6849,4876.60,10.24
15,0.8680,0.6997,5002.74,9.98

# m=8, global_batch=512
epoch,train_loss,train_acc,throughput,epoch_time
1,3.1403,0.1839,8760.31,5.67
2,2.2643,0.2329,9237.29,5.38
3,1.9810,0.2952,9269.46,5.36
4,1.7117,0.3677,9320.98,5.33
5,1.6018,0.4111,9482.21,5.24
6,1.5015,0.4522,9503.31,5.23
7,1.4440,0.4732,9587.34,5.18
8,1.3409,0.5156,9481.50,5.24
9,1.2615,0.5447,9177.33,5.41
10,1.1977,0.5702,9569.16,5.19
11,1.1219,0.5992,9599.41,5.17
12,1.0592,0.6239,9344.39,5.31
13,0.9992,0.6447,9505.99,5.22
14,0.9640,0.6599,9787.91,5.07
15,0.9012,0.6830,9674.14,5.13

# m=8, global_batch=1024
epoch,train_loss,train_acc,throughput,epoch_time
1,3.3823,0.1387,13345.12,3.68
2,2.2846,0.2331,15099.18,3.26
3,1.9813,0.3110,15208.16,3.23
4,1.8110,0.3621,15445.91,3.18
5,1.6941,0.4062,14976.58,3.28
6,1.6218,0.4371,15201.18,3.23
7,1.5005,0.4679,15191.18,3.24
8,1.4126,0.5001,15078.28,3.26
9,1.3535,0.5185,15366.44,3.20
10,1.2896,0.5368,15038.16,3.27
11,1.2239,0.5692,15290.46,3.21
12,1.1481,0.5954,15125.29,3.25
13,1.0915,0.6143,15032.06,3.27
14,1.0261,0.6363,15367.60,3.20
15,0.9804,0.6532,15005.97,3.28

# m=8, global_batch=2048
epoch,train_loss,train_acc,throughput,epoch_time
1,3.6457,0.1222,16849.01,2.92
2,2.2916,0.2125,19761.04,2.49
3,2.0129,0.2904,20060.92,2.45
4,1.9168,0.3287,19743.44,2.49
5,1.8343,0.3648,20272.19,2.42
6,1.7644,0.3957,19553.85,2.51
7,1.8325,0.3652,20087.41,2.45
8,1.7015,0.4021,19741.66,2.49
9,1.6585,0.4290,20401.54,2.41
10,1.5785,0.4490,19856.25,2.48
11,1.4880,0.4772,20006.16,2.46
12,1.4343,0.4961,19750.65,2.49
13,1.4007,0.5077,20220.97,2.43
14,1.3521,0.5245,19666.78,2.50
15,1.2978,0.5434,20079.23,2.45
